epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.9012,0.85616,0.92558,1.32487,0.86209,0.70869,0.79112,0.63567,0.63529,0.53476,1.12547,0.00332268,0.00332268,0.00332268
2,148.552,0.84232,0.89773,1.30291,0.85244,0.73576,0.81479,0.64332,0.65543,0.56712,1.14251,0.00659012,0.00659012,0.00659012
3,211.047,0.85105,0.92623,1.30667,0.81802,0.65488,0.73757,0.58444,0.67935,0.64515,1.16299,0.00979156,0.00979156,0.00979156
4,273.479,0.8841,0.99751,1.33339,0.8349,0.67557,0.75589,0.59403,0.69081,0.64166,1.17562,0.009703,0.009703,0.009703
5,336.656,0.87921,0.99695,1.33082,0.83105,0.66043,0.74069,0.5879,0.67526,0.60784,1.17434,0.009604,0.009604,0.009604
6,399.589,0.87871,0.97674,1.32834,0.7939,0.66195,0.73081,0.5765,0.68394,0.6911,1.1819,0.009505,0.009505,0.009505
7,461.932,0.86469,0.9703,1.32412,0.83605,0.68889,0.76625,0.6015,0.69193,0.61701,1.17484,0.009406,0.009406,0.009406
8,523.872,0.86558,0.9547,1.31768,0.83794,0.68286,0.75554,0.58962,0.70017,0.6425,1.18878,0.009307,0.009307,0.009307
9,585.415,0.85764,0.9511,1.31402,0.82992,0.70629,0.77322,0.6007,0.70941,0.62334,1.18979,0.009208,0.009208,0.009208
10,647.894,0.85932,0.94148,1.3165,0.83957,0.68089,0.75716,0.59246,0.70274,0.62012,1.18704,0.009109,0.009109,0.009109
11,709.902,0.85346,0.93898,1.31124,0.84436,0.67594,0.75484,0.60102,0.67892,0.57424,1.16384,0.00901,0.00901,0.00901
12,772.735,0.84883,0.91813,1.30285,0.8409,0.70738,0.77321,0.60971,0.68386,0.59345,1.16232,0.008911,0.008911,0.008911
13,833.804,0.84517,0.91292,1.30224,0.83724,0.68503,0.75876,0.60513,0.66411,0.57217,1.15662,0.008812,0.008812,0.008812
14,895.077,0.84552,0.9078,1.30053,0.83253,0.70035,0.77055,0.61308,0.67678,0.61993,1.16146,0.008713,0.008713,0.008713
15,957.396,0.83571,0.90398,1.29526,0.85145,0.72645,0.79278,0.61958,0.69615,0.61669,1.1705,0.008614,0.008614,0.008614
16,1018.9,0.83097,0.8875,1.28979,0.84208,0.6762,0.74793,0.60183,0.6693,0.58929,1.14885,0.008515,0.008515,0.008515
17,1081.93,0.83291,0.8821,1.29152,0.85958,0.68522,0.75869,0.61132,0.65781,0.54354,1.14501,0.008416,0.008416,0.008416
18,1144.23,0.83053,0.88341,1.29025,0.83116,0.70187,0.769,0.61432,0.66339,0.58601,1.1536,0.008317,0.008317,0.008317
19,1206.88,0.82858,0.87225,1.28688,0.85543,0.67477,0.74453,0.60887,0.632,0.51557,1.13612,0.008218,0.008218,0.008218
20,1268.32,0.8245,0.86554,1.28311,0.86388,0.70198,0.78256,0.62617,0.66177,0.54392,1.14731,0.008119,0.008119,0.008119
21,1329.53,0.82093,0.85972,1.28031,0.84043,0.6896,0.75277,0.61512,0.63324,0.52649,1.126,0.00802,0.00802,0.00802
22,1390.65,0.82389,0.86433,1.28276,0.86489,0.67978,0.75817,0.61548,0.63995,0.53321,1.13438,0.007921,0.007921,0.007921
23,1452.13,0.81823,0.85024,1.27711,0.86977,0.71378,0.78652,0.63573,0.64249,0.53564,1.1306,0.007822,0.007822,0.007822
24,1513,0.80653,0.83229,1.26677,0.86538,0.69037,0.76144,0.62409,0.6316,0.50643,1.12399,0.007723,0.007723,0.007723
25,1574.69,0.80856,0.83554,1.27057,0.87867,0.68887,0.76581,0.62668,0.63477,0.51843,1.12265,0.007624,0.007624,0.007624
26,1636.65,0.80219,0.8235,1.26607,0.86799,0.69641,0.7674,0.62885,0.62957,0.51729,1.12087,0.007525,0.007525,0.007525
27,1697.9,0.80496,0.82174,1.26473,0.87696,0.70297,0.78162,0.63326,0.63888,0.51114,1.12628,0.007426,0.007426,0.007426
28,1758.67,0.80691,0.82265,1.26927,0.87944,0.70184,0.77569,0.63281,0.63206,0.50444,1.11928,0.007327,0.007327,0.007327
29,1821.39,0.79866,0.80668,1.26018,0.88078,0.70601,0.78406,0.64051,0.62977,0.49865,1.11706,0.007228,0.007228,0.007228
30,1882.52,0.80057,0.81739,1.26374,0.87796,0.69008,0.76854,0.63507,0.61773,0.47875,1.10926,0.007129,0.007129,0.007129
