epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.588,2.16275,3.44317,2.64119,0.36475,0.30377,0.23315,0.12541,1.68014,2.98095,2.17622,0.0670563,0.000332765,0.000332765
2,277.376,1.56501,2.48946,2.03476,0.41213,0.40258,0.39392,0.22906,1.46866,2.27499,1.94834,0.0340562,0.000665935,0.000665935
3,394.281,1.45565,2.21885,1.9162,0.47807,0.4457,0.44131,0.27917,1.30582,2.22942,1.7828,0.00105534,0.000998455,0.000998455
4,510.685,1.37535,2.02087,1.84805,0.59944,0.52761,0.57185,0.36871,1.28074,1.85087,1.75961,0.000997803,0.000997803,0.000997803
5,627.371,1.31883,1.85056,1.79588,0.59387,0.55903,0.59475,0.3948,1.21385,1.73974,1.70332,0.000996097,0.000996097,0.000996097
6,741.874,1.27569,1.73595,1.75084,0.62902,0.57932,0.63308,0.4294,1.14885,1.69421,1.61398,0.000993906,0.000993906,0.000993906
7,855.577,1.24494,1.66389,1.72263,0.67881,0.59805,0.65706,0.44824,1.16563,1.6282,1.62617,0.000991232,0.000991232,0.000991232
8,970.94,1.22403,1.56181,1.7054,0.72223,0.64885,0.71242,0.49905,1.07307,1.50643,1.55281,0.000988079,0.000988079,0.000988079
9,1086.11,1.20168,1.51177,1.68432,0.72727,0.65164,0.7239,0.51427,1.03618,1.44915,1.52278,0.000984449,0.000984449,0.000984449
10,1200.59,1.19686,1.46919,1.6713,0.73888,0.64321,0.7244,0.50839,1.05177,1.41971,1.53493,0.000980345,0.000980345,0.000980345
11,1315.01,1.16898,1.40534,1.64946,0.74868,0.69433,0.75626,0.53814,1.01843,1.36614,1.49953,0.000975773,0.000975773,0.000975773
12,1428.96,1.15977,1.36025,1.63943,0.76179,0.7021,0.76727,0.54363,1.05476,1.35619,1.50796,0.000970736,0.000970736,0.000970736
13,1543.5,1.14497,1.32867,1.62827,0.7654,0.70806,0.77208,0.55598,1.01738,1.24233,1.47751,0.000965239,0.000965239,0.000965239
14,1658.8,1.13176,1.29499,1.6208,0.76648,0.72473,0.7803,0.56777,1.00415,1.26212,1.47372,0.000959289,0.000959289,0.000959289
15,1773.2,1.12842,1.26504,1.60721,0.76585,0.73433,0.79147,0.57937,0.98214,1.18006,1.44965,0.000952889,0.000952889,0.000952889
16,1888.69,1.11661,1.25306,1.60187,0.78552,0.74094,0.80131,0.59066,0.98856,1.18027,1.45734,0.000946048,0.000946048,0.000946048
17,2004.7,1.11412,1.22333,1.59626,0.79664,0.7334,0.80697,0.59076,0.99404,1.15495,1.45559,0.000938772,0.000938772,0.000938772
18,2121.4,1.10164,1.19788,1.58371,0.79331,0.75805,0.81724,0.60606,0.96211,1.10129,1.42687,0.000931067,0.000931067,0.000931067
19,2236.8,1.09476,1.18746,1.58156,0.78177,0.75294,0.80613,0.5955,0.95998,1.15112,1.42603,0.000922942,0.000922942,0.000922942
20,2352.48,1.09149,1.1645,1.57288,0.79705,0.75662,0.81909,0.61183,0.92256,1.0312,1.40169,0.000914405,0.000914405,0.000914405
21,2466.88,1.0855,1.13838,1.56707,0.80746,0.76113,0.82697,0.61644,0.92216,1.03584,1.40139,0.000905463,0.000905463,0.000905463
22,2581.4,1.07516,1.12699,1.55817,0.80267,0.77411,0.83247,0.6202,0.93475,1.04984,1.40799,0.000896127,0.000896127,0.000896127
23,2695.11,1.07171,1.11996,1.55859,0.8081,0.77407,0.83533,0.62989,0.90484,1.0277,1.38878,0.000886404,0.000886404,0.000886404
24,2809.99,1.05991,1.09195,1.54883,0.80637,0.77595,0.83386,0.63042,0.90304,1.05505,1.38543,0.000876305,0.000876305,0.000876305
